product_id,product_name,price,weight,manufacturing_date,expiry_date
P00001,Organic Olive Oil,19.99,5,2022-10-22,2023-08-27
P00002,Whole Grain Bread,29.99,1.2,2022-10-22,2024-01-29
P00003,Dark Chocolate Bar,15.50,0.8,2024-11-15,2023-12-26
P00004,Fresh Strawberries,9.99,0.3,2022-01-24,2022-02-12
P00005,Greek Yogurt,12.99,0.7,2022-06-07,2022-06-05
P00006,Almond Milk,24.99,1.5,2024-07-26,2024-09-30
P00007,Honey Nut Cereal,17.50,0.9,2023-04-11,2023-05-11
P00008,Canned Tuna,34.99,2.0,2024-12-12,2022-11-30
P00009,Granola Bars,14.99,0.6,2023-11-16,2022-12-21
P00010,Apple Cider Vinegar,22.99,1.1,2023-02-03,2022-01-28
P00011,Peanut Butter,18.50,0.8,2024-01-14,2023-08-31
P00012,Quinoa,27.99,1.3,2023-06-24,2024-11-06
P00013,Green Tea Bags,11.99,0.4,2024-01-30,2022-09-03
P00014,Coconut Oil,16.99,0.7,2024-11-08,2023-03-30
P00015,Protein Powder,13.50,0.6,2023-02-28,2022-09-01
P00016,Frozen Berries,21.99,1.0,2022-07-26,2024-08-15
P00017,Instant Coffee,10.99,0.3,2022-03-30,2022-11-11
P00018,Rice Cakes,8.99,0.4,2022-11-27,2022-12-15
P00019,Dried Apricots,12.50,0.5,2022-12-24,2022-09-20
P00020,Sparkling Water,19.99,1.2,2024-02-03,2024-11-06
P00021,Energy Drink,14.99,0.8,2024-06-11,2023-07-05
P00022,Pasta Sauce,11.99,0.9,2022-11-23,2024-12-02
P00023,Canned Beans,9.99,0.7,2022-08-11,2022-12-20
P00024,Frozen Pizza,15.99,1.1,2023-08-03,2024-02-21
P00025,Trail Mix,12.99,0.6,2023-04-01,2023-10-28
P00026,Fresh Spinach,7.99,0.3,2023-01-18,2023-01-31
P00027,Orange Juice,18.99,1.0,2022-05-28,2023-09-03
P00028,Almonds,22.50,0.9,2023-03-19,2023-06-25
P00029,Canned Soup,10.99,0.8,2024-06-17,2023-11-19
P00030,Frozen Vegetables,14.99,1.2,2024-09-13,2024-01-02
P00031,Bottled Water,9.99,1.5,2024-12-08,2023-09-19
P00032,Instant Noodles,6.99,0.4,2022-08-31,2022-06-12
P00033,Breakfast Cereal,12.99,0.9,2024-12-26,2024-08-02
P00034,Frozen Fish Fillets,19.99,1.0,2024-05-10,2024-04-28
P00035,Dried Mango,13.99,0.5,2023-01-01,2022-10-14
P00036,Tomato Ketchup,8.99,0.7,2024-08-17,2023-03-15
P00037,Mayonnaise,10.99,0.8,2024-03-29,2022-12-12
P00038,Frozen French Fries,16.99,1.2,2023-09-01,2024-02-03
P00039,Canned Corn,9.99,0.7,2023-06-25,2022-10-08
P00040,Fresh Avocados,14.99,0.6,2023-05-21,2024-03-18
P00041,Frozen Berries Mix,18.99,1.0,2024-10-04,2024-03-09
P00042,Bottled Lemonade,11.99,1.1,2023-10-16,2022-06-15
